PCA total explained variance =  0.47
306   0.237812 -1.271667 -0.461147  1.598562 -0.368632
307   8.990380 -2.178197 -0.661177  1.392397  0.857634
308   1.101056 -1.660919 -2.511752  0.703073 -1.488826
309   7.042409 -2.722191 -2.261881  2.635679 -0.729670
310   5.331195  4.012076  2.020041  2.388751  0.939348
311  -2.188171  3.416225  4.061827 -3.209834 -1.466426
312   3.890826 -0.420398  2.355479  0.041150  1.200058
313   4.509341 -0.325554  4.873292  0.311943 -0.240892
314   0.992361 -3.854428 -2.802455  0.133628 -1.834894
315  -3.988803 -7.785236  1.775367 -1.726230 -1.947193
316  -1.721527 -2.817783  1.049339 -3.044295 -1.271127
317   4.530577  4.663610  2.474311  1.763827 -0.092280
318  -4.167267 -0.444014 -2.797023  0.230337  0.540797
319   4.842676  6.570201  0.081839 -0.480394  1.589833
320  -0.050123 -1.004808 -1.124644  0.918264  0.690864
321   1.127949 -0.565179 -1.002570 -0.960333  1.117781
322   1.510453  0.218850  0.510256 -1.618231 -2.197794
323   1.158477 -0.953375 -0.521775 -2.405829 -2.064337
324   4.828602 -3.299750  1.026109  0.321043 -3.495621
325   2.870113 -0.188132  1.389351 -3.102219 -0.494683
326   2.416654  2.467130 -4.290487 -0.406404  0.748450
327   2.457012 -3.142085 -0.012943 -0.371232 -1.033101
328  -3.819960  1.606127  0.491978 -4.240842  0.254154
329  -0.209443  0.359541 -3.435438  0.530236 -1.841864
330   1.778256 -0.612861  2.903293  0.158220  1.060605
331  -0.094719  1.586086  2.010775 -3.252704 -5.207155
332  -2.768342  1.450559 -0.915246 -4.770351 -2.328242
333  -6.521031  1.020487  2.649206  2.138187 -1.058018
334  -3.381556 -1.656691  1.971132 -0.385029 -2.671430
335  -0.375629 -0.412612 -1.533963  1.259996  1.971016
336  -4.353269  0.962478 -0.532535 -4.361555  0.986770
337   7.546242  0.155485  3.293088 -0.332970  2.498355
338  -4.953002  1.784636 -3.971304  3.074628 -0.594501
339  -3.161810 -0.462851  2.964572  1.789110 -0.193427
340  -4.145264  1.572433 -1.263728  4.571423  3.389418
341  -5.005507 -0.344375  2.935832 -1.842795 -1.011846
342   3.287450  3.971699  3.685143 -0.106720  4.780606
343  -9.653367  1.921404  0.111401 -0.616546  4.886842
344  -2.119643 -4.579707  0.210620  3.731669 -0.464992
345  -3.022947 -0.762961  1.888990 -3.052471  3.321564
346  -0.884814  5.258718 -3.742748 -2.339642 -0.930259
347  -3.822740 -2.276403 -3.178131 -1.874111 -0.840066
348  -2.881306  1.014983 -3.742909 -1.450207  1.413284
349  -0.511827  1.162148 -0.308345  2.902208 -3.575016
350  -7.200161  1.452954  1.168026  1.996028  2.822336
351  -2.284698  2.884356 -2.933938 -3.725385  1.600188
352   1.647288  2.594078 -1.743297  2.523838 -0.559196
353   3.931422  1.536693  6.372799  1.384463 -5.273481
354   2.882305  1.371759  0.095818 -2.790975 -1.528395
355   3.340984 -0.757605  1.318334 -1.821638  1.325304
356  -0.354342 -5.426815  1.637579  6.444225  2.506653
357   0.392686 -4.741584  1.605996 -1.326843 -2.125712
358  -6.269195 -3.370834 -2.336440 -1.275366  5.553610
359   4.291689 -2.333200  4.268436  2.016509  1.324546
360   5.729810 -1.657470 -0.397460  4.857438 -0.218702
361  -3.793298 -1.946344  3.300582  1.207145  2.282861
362   4.309331  2.997615 -2.281033 -4.363503  1.621420
363  -3.830744  2.547641  2.024359  2.804898 -0.992559
364   6.390161 -0.791892  0.045809 -3.976745 -1.989011
365  -3.851613 -1.059006 -2.033168 -0.682233 -0.572850
366   5.031331 -3.303160  0.899883  0.367782 -0.277114
367  -1.012717 -0.468393 -0.394872  5.136523  1.054788
368   3.793184 -0.886331  1.533450  2.831745  1.055222
369  -6.197139 -6.209571  1.819923 -4.648679  2.147911
370   2.716347 -1.976595 -0.991319  2.435287 -2.674207
371   3.608542  3.025756 -1.883794 -1.384421 -1.618516
372   1.357845  1.615442  1.549241  2.475159  2.597081
373  -4.906789  3.556562  1.431002  0.046344  0.735198
374  -0.242877 -0.706085 -3.424134  0.905290 -1.961387
375   2.155532  3.173419  2.551587  2.652545  1.275830
376   0.741565 -6.215304  0.616075 -0.905077 -0.999508
377  -5.930708  3.077152 -1.994213  4.388074 -0.654179
378  -4.515202  2.844583  2.315474 -2.102856 -2.148305
379  -3.527523 -0.195121 -2.524215  3.743427 -0.210586
380  -1.109008 -2.141551  0.306977  0.998688 -2.395860
381  -6.949104  2.160228 -0.544675 -0.651519  1.406720
382  -0.481735 -1.123173 -0.360288 -1.626504 -2.271825
383   2.053552 -1.801690 -3.122266  0.782646 -0.792080
384  -4.448153 -0.976645 -0.251444  3.751308 -0.627998
385   1.502334  4.118898 -0.523086  0.014872  1.571071
386  -1.444856 -0.141489 -1.921090 -0.262493  1.645458
387   0.996472 -7.092381  0.250383  0.169128  2.541670
388   4.351972 -0.079650 -1.513269  1.627983 -0.107342
389  -2.742458  0.518109 -2.679677 -0.454665 -3.114662
390   1.445821 -4.394771  2.102080  1.871425  0.140679
391  -1.286917  0.839451 -0.771652  0.796005  5.921743
392   3.836776  5.239835 -0.717868 -0.056598  2.192407
393  -1.844945  2.225949 -3.649791  1.965818 -0.973427
394   0.483945 -2.163605  1.820038  6.421546 -1.880391
395  -0.678434  2.101824 -3.070197  1.431489 -1.303888
396   2.693308  0.632134 -0.479401  2.115267  1.683577
397   1.733981  0.807873 -3.174658 -0.752329  2.003412
398   2.326445  1.140096 -0.134607 -1.726816 -2.305213
399   0.261077 -1.938169 -1.123292 -0.736505 -1.047286
400   0.849854 -2.060389 -5.188971  1.012702  2.477018
401   5.419433  1.123512  2.208052  1.239017 -1.696096
402  -5.423087  3.387310 -0.701053  0.552310 -0.277492
403   0.420496 -3.328918 -2.213742 -2.416603  0.073441
404   2.219685 -2.483256  3.666677 -5.468646  5.418204
405   0.625606 -0.197986  1.574057  3.486920  0.337905
406   1.697173  0.671815 -0.115075 -3.256059 -0.199381
407  -5.430573 -6.670351  6.566340  0.188033  0.913769
408  -0.581072 -0.304473 -1.960173  2.899734  1.103641
409  -4.006193 -3.744573 -0.324224  0.277900  0.360313
410   3.527122  1.654253  3.777610 -1.132138  1.659064
411  -6.429748 -1.916142  0.816410 -0.217024  0.039861
412  -6.802556 -4.212054 -1.378645 -1.906154 -1.153304
413  -1.588514  1.713243  0.349898 -2.749914 -3.075664
414  -2.896677  0.791031  1.972530  4.731868 -2.651136
415  -0.599003 -2.271394 -0.048206  5.301594  1.587175
416  -6.305185 -0.986630 -0.990848 -3.752032 -1.551991
417   3.250201  2.265630  1.067258  0.837676 -0.833327
418   3.274505  3.864376 -1.323607 -2.342115  1.392889
419  -1.216263 -2.671670 -4.678888  3.940905  0.409349
420  -2.445139  6.414229 -0.930595  0.377588  3.475786
421  -1.323865 -1.683507 -4.137070 -0.671084  0.838003
422   1.304117  0.536982 -6.000611 -1.240128  1.466589
423   0.717963  1.341341  0.085952  1.676557  0.431065
424  -3.062116 -1.039322  0.528392 -1.580906 -0.928496
425  -1.950120  0.509565 -4.369274 -3.349751 -3.109707
426  -2.596926  1.500179 -1.572729 -2.836657 -0.033097
427  -4.086592  0.164274  0.179042  0.378493  0.006233
428  -4.527299  1.310353  1.402926 -0.709929 -0.228002
429   4.574745  5.966147  1.494418  0.859977 -1.409203
430  -5.602368  4.096959 -4.216054  2.590716  1.334792
431   1.884401 -6.118672  2.944728 -0.080405  1.821444
432   3.655443 -2.017108 -0.569788 -2.563217 -0.136830
433  -3.330534 -6.562517  0.386048  1.507495 -2.034346
434   2.795625  1.860507  1.974480 -2.491213 -3.050730
435   2.931642  3.752706 -0.833731 -0.039275  1.415712
436   1.316036  4.235662 -1.293243 -0.251006 -0.494257
437  -5.478310 -0.093687 -1.981107 -3.744248  3.315362
438   1.173848  3.526476  0.442345 -0.328050 -1.627716
439  -1.553395  2.116838 -0.219001 -1.117872  2.651832
440   7.582021  2.180699 -0.322243  1.184532  1.203831
441  -5.884709 -0.423126 -1.865686  0.285789  3.202037
442  -0.745069 -0.961129  0.665430 -0.215315  1.289048
443   3.791004  0.016068 -0.082490 -1.353519 -0.547045
444  -4.351744  2.792594  0.865660  0.223019  2.428079
